user_id	event_name	ts
	start	2019-08-15 16:20:48
	start	2019-07-08 02:45:31
	finish	2019-06-17 03:49:46
	start	2019-08-24 13:26:27
	start	2019-08-29 22:52:29
	finish	2019-07-13 05:33:59
84bdb126	finish	2019-07-30 14:24:34
	start	2019-08-25 18:10:32
242aa406	finish	2019-08-13 14:42:55
	start	2019-08-06 12:15:27
	start	2019-08-23 13:38:48
	start	2019-06-08 15:25:28
	finish	2019-08-24 07:35:41
	start	2019-08-10 14:22:19
6c62958e	finish	
	start	2019-08-24 07:23:14
	start	2019-06-26 14:47:33
	start	2019-08-13 22:21:42
	start	2019-06-25 20:23:32
1ab88731	finish	2019-08-25 20:48:29
6cb997b4	finish	
	start	2019-06-26 03:58:56
	start	2019-06-28 23:28:31
	start	2019-06-24 03:16:09
	start	2019-08-15 13:56:54
b6a09f53	finish	
	start	2019-08-22 16:41:09
596c8e56	finish	2019-06-22 17:18:35
	start	2019-07-25 00:03:36
	start	2019-08-26 14:31:48
	start	2019-06-21 19:43:45
9abc8b79	finish	
207cb81d	finish	
	start	2019-08-13 19:22:31
	start	2019-07-28 22:15:35
1fadb73d	finish	
	start	2019-08-21 05:24:00
	start	2019-08-26 22:33:45
5d2eae55	finish	2019-08-04 09:52:32
1989ad20	finish	
	start	2019-08-29 10:40:14
8d3399df	finish	2019-06-04 16:26:05
	start	2019-06-21 15:59:12
97f792b4	finish	2019-08-10 19:28:23
c067920a	finish	2019-06-21 04:56:35
673c8418	finish	
e012a1f2	finish	2019-08-28 14:07:27
	start	2019-07-30 01:53:53
196aba63	finish	2019-07-25 18:09:17
	start	2019-07-10 15:51:15
	start	2019-07-08 14:42:05
	start	2019-06-23 23:47:39
	start	2019-08-18 22:46:08
	finish	2019-07-23 07:18:20
	start	2019-07-25 21:18:18
	finish	2019-06-12 02:14:37
	start	2019-06-18 00:16:53
bafb8279	finish	2019-08-23 14:32:48
74d58a90	finish	2019-08-06 02:00:07
	start	2019-06-26 15:12:44
	finish	2019-06-18 18:34:52
	start	2019-08-15 18:50:11
	start	2019-08-01 03:54:44
2a01ba69	finish	2019-08-28 23:17:25
	finish	2019-08-14 17:37:29
	start	2019-08-28 07:02:15
318589a0	finish	2019-08-01 20:17:08
70068c9f	finish	
	start	2019-06-28 01:46:19
07c691ef	finish	2019-07-07 23:48:23
	finish	2019-07-11 17:11:05
	start	2019-08-23 00:05:03
	start	2019-07-17 02:52:18
8e75bb88	finish	2019-08-28 04:57:24
	start	2019-08-18 11:29:48
754eb262	finish	2019-07-15 11:49:02
	start	2019-06-11 06:15:43
	start	2019-06-29 14:49:16
f118a744	finish	2019-05-17 12:50:49
	start	2019-08-24 00:40:22
	start	2019-08-26 21:24:29
c1db8f00	finish	
038a8a41	finish	
	finish	2019-08-27 09:13:17
e253a618	finish	2019-07-28 18:46:02
	finish	2019-07-24 21:11:08
8c39b21e	finish	2019-08-26 23:28:07
	start	2019-08-17 23:30:18
	start	2019-07-05 15:30:38
	start	2019-08-12 18:05:50
	finish	2019-07-17 17:45:24
	start	2019-07-21 07:06:12
ecb6af04	finish	
	start	2019-06-24 17:38:07
f480a5a6	finish	2019-08-28 02:31:08
63d5a3fc	finish	2019-06-26 17:25:41
7e4b9df9	finish	2019-06-24 04:49:44
	finish	2019-08-05 00:43:32
1e25b2c0	finish	
580eb4c7	finish	2019-06-09 05:48:09
	start	2019-06-11 20:26:05
	finish	2019-08-27 03:22:18
5b6584a7	finish	2019-06-22 01:45:03
	start	2019-07-05 20:01:14
	finish	2019-06-28 19:10:53
75c688e7	finish	2019-07-24 18:41:06
	start	2019-08-17 06:42:54
3465a3e7	finish	
1d22ae04	finish	
	finish	2019-08-21 19:53:02
	finish	2019-06-17 14:21:28
e6ceb932	finish	2019-08-13 20:03:01
596c8e56	finish	
3f48acb8	finish	
	start	2019-06-15 17:53:34
	start	2019-08-22 13:14:04
0fd8bab7	finish	
	start	2019-07-08 19:08:00
	start	2019-06-24 20:01:11
4f6f9c56	finish	2019-07-30 22:32:03
924c857b	finish	2019-08-26 06:42:11
	start	2019-06-15 04:09:08
	start	2019-06-12 03:33:13
	start	2019-08-06 17:58:35
6560a9a9	finish	
baa7aa93	finish	2019-06-16 03:30:12
	start	2019-08-07 06:09:17
	start	2019-07-04 21:45:58
	start	2019-06-08 19:01:20
	start	2019-08-29 03:42:50
	start	2019-07-08 16:34:47
37d1bb5a	finish	2019-08-21 21:25:03
	start	2019-08-28 15:26:41
1aa99c62	finish	2019-07-29 00:40:58
	start	2019-08-27 23:50:51
e157a077	finish	
	start	2019-07-07 02:16:10
	start	2019-08-24 17:21:47
7acb8ced	finish	
	start	2019-08-25 23:40:47
	start	2019-06-19 13:53:39
634d9199	finish	
	start	2019-08-11 11:29:41
	start	2019-06-23 19:04:53
	start	2019-06-17 23:50:22
ad478e80	finish	2019-08-18 18:52:54
	start	2019-07-03 13:53:03
	start	2019-06-03 13:27:29
20b09ba4	finish	
	start	2019-08-15 14:17:22
4bbbbfae	finish	2019-08-24 23:33:35
	start	2019-07-01 00:59:54
	start	2019-08-06 00:03:36
53429e65	finish	
	start	2019-07-11 22:26:04
	start	2019-08-23 19:20:10
	start	2019-07-11 04:48:54
	finish	2019-07-12 14:43:36
	start	2019-08-29 16:52:04
	start	2019-06-13 03:44:16
1b29b8c1	finish	2019-08-10 18:00:13
1164a1fb	finish	2019-07-29 23:46:51
	start	2019-06-18 09:50:28
	start	2019-08-22 11:17:35
c38ca081	finish	2019-07-06 17:35:21
	finish	2019-08-07 14:36:43
	start	2019-06-11 00:20:06
	start	2019-06-11 14:32:48
067299af	finish	2019-06-19 02:29:03
9afab8ea	finish	2019-06-15 02:01:45
9841974c	finish	2019-08-11 21:51:29
f6a98d93	finish	2019-06-21 19:20:23
769991ec	finish	2019-06-21 17:18:55
	start	2019-06-28 17:46:01
	finish	2019-06-27 02:30:53
adf785c9	finish	2019-07-04 01:54:09
04879b99	finish	
	start	2019-06-04 10:11:17
	finish	2019-08-24 18:57:38
	start	2019-07-04 04:00:02
	start	2019-08-18 15:32:33
	start	2019-08-20 08:47:18
	start	2019-07-28 17:32:39
	start	2019-08-22 02:32:21
596c8e56	finish	2019-06-23 21:56:12
	start	2019-07-18 22:45:12
	start	2019-07-01 04:13:42
09678298	finish	
5746a179	finish	2019-08-06 23:48:31
	start	2019-06-09 15:25:39
	start	2019-07-06 12:54:48
dc1e8a2b	finish	2019-08-20 16:59:55
	finish	2019-07-04 15:21:09
	start	2019-06-11 19:29:55
	start	2019-07-27 00:57:56
	start	2019-07-26 15:06:19
	start	2019-08-01 03:22:40
	start	2019-08-18 11:23:25
	start	2019-08-21 15:32:43
742291ad	finish	2019-06-12 01:55:42
a11fbd58	finish	
	start	2019-06-23 15:40:49
	finish	2019-07-09 10:32:07
	start	2019-07-15 13:44:15
ced8b374	finish	2019-08-08 00:16:14
5867ae65	finish	2019-06-16 19:26:31
224ebbad	finish	2019-06-30 04:13:48
	finish	2019-06-08 17:59:17
16239450	finish	2019-06-06 13:08:38
	start	2019-08-15 15:14:45
	start	2019-06-28 11:57:27
ab898f6d	finish	2019-06-15 19:06:21
256f9327	finish	2019-07-09 01:04:09
	finish	2019-07-06 19:35:32
	start	2019-08-25 13:12:52
	finish	2019-07-04 16:06:12
	start	2019-08-21 01:45:22
e9be9f2e	finish	2019-06-15 01:43:20
96ba91b2	finish	2019-07-14 09:52:28
ea339f50	finish	2019-07-06 03:31:24
c8ce99b0	finish	2019-08-24 20:11:57
a6eaa253	finish	2019-07-08 01:33:24
	start	2019-08-21 01:52:03
	finish	2019-08-14 17:02:39
	start	2019-06-08 22:02:07
	start	2019-08-08 04:23:20
84d28f9a	finish	
bad0b591	finish	
	start	2019-07-05 01:58:49
b6a09f53	finish	
	start	2019-07-29 21:51:30
	start	2019-08-07 06:01:55
ea9cb734	finish	2019-06-28 00:42:44
988499ae	finish	
0bc89bbe	finish	
	start	2019-06-17 00:32:31
	start	2019-08-08 18:58:11
4ac285ec	finish	2019-08-23 18:16:54
	start	2019-06-26 04:06:32
	start	2019-08-17 01:57:59
	start	2019-08-08 21:48:28
	start	2019-08-12 00:04:48
	finish	2019-08-23 20:26:18
	start	2019-08-04 13:03:51
de06a04b	finish	2019-08-29 15:37:14
db0db007	finish	
	start	2019-07-25 19:06:56
642aadc8	finish	2019-08-21 10:56:24
71d5a4e0	finish	
5354b147	finish	2019-06-08 02:33:30
46ab985a	finish	
	start	2019-07-24 00:30:31
	start	2019-06-09 15:27:31
23829bd0	finish	
2d3390c2	finish	
	start	2019-06-14 15:26:18
	start	2019-07-12 01:49:10
	finish	2019-08-24 18:33:24
	start	2019-08-07 21:59:08
	start	2019-08-28 13:25:48
	start	2019-07-06 19:12:29
	start	2019-08-13 18:37:01
	start	2019-06-10 19:44:39
2785bcb8	finish	2019-07-18 22:59:16
	start	2019-08-22 05:35:03
acb9b354	finish	
	finish	2019-08-15 00:00:48
	start	2019-07-02 12:31:46
acc8b2e7	finish	2019-08-23 01:57:55
	start	2019-08-22 02:27:36
cc1bb002	finish	
	start	2019-08-21 10:47:56
69f4bf21	finish	2019-07-30 02:44:46
	finish	2019-07-02 22:23:40
16239450	finish	2019-06-14 09:10:21
	start	2019-06-19 20:19:12
	finish	2019-08-13 12:04:34
bf888fcc	finish	
	start	2019-08-09 02:14:56
	start	2019-08-23 19:34:52
	start	2019-06-29 14:58:50
	start	2019-08-10 17:44:14
	start	2019-08-23 04:34:16
34bd8bfc	finish	2019-06-17 06:09:03
d6f384f2	finish	2019-06-09 07:25:13
	start	2019-07-10 11:22:50
	start	2019-08-22 21:40:41
25d2ac8c	finish	
80ec883b	finish	2019-08-10 22:07:58
a1879745	finish	2019-06-09 14:35:40
	start	2019-08-07 23:28:26
8bffbf63	finish	2019-08-20 16:33:27
	start	2019-08-03 06:39:33
	finish	2019-07-07 00:54:45
	start	2019-06-19 17:38:03
e3d2a20f	finish	2019-06-28 15:01:14
	finish	2019-07-29 13:21:27
	start	2019-07-13 12:38:35
50888ebe	finish	2019-07-23 19:05:23
f4cf9250	finish	
e4b49f0d	finish	2019-08-23 04:37:35
	start	2019-07-04 00:10:42
	start	2019-08-12 03:27:07
	finish	2019-06-17 14:12:27
	finish	2019-07-06 21:13:15
	finish	2019-07-28 19:28:34
51faafad	finish	2019-05-18 17:58:50
	start	2019-07-17 20:49:45
	start	2019-08-28 18:52:00
	start	2019-07-13 12:06:42
4a1ca699	finish	
	start	2019-07-25 15:01:15
a698a139	finish	2019-08-06 19:48:25
602790ae	finish	2019-07-13 08:19:51
	start	2019-08-06 19:42:59
	start	2019-06-04 08:30:50
aa1084e6	finish	2019-08-27 21:15:53
b99bac7a	finish	2019-07-07 19:12:28
	start	2019-08-10 18:37:17
6dc7a858	finish	
1da5a5ad	finish	2019-08-20 01:47:54
	start	2019-08-23 14:32:14
a2398a18	finish	2019-06-27 17:33:26
	start	2019-06-20 15:07:27
	start	2019-08-28 21:57:10
6b83a7d1	finish	2019-07-02 21:21:42
	start	2019-08-13 17:57:24
	start	2019-06-14 01:05:31
14ab91ef	finish	2019-06-28 15:26:31
	finish	2019-06-18 00:17:10
8183bee5	finish	2019-07-01 11:51:10
	start	2019-08-11 19:11:39
	start	2019-08-23 16:31:46
b7d0b1dc	finish	2019-06-19 01:39:27
	start	2019-07-30 02:28:54
f8519e55	finish	2019-06-22 21:13:11
	start	2019-06-12 01:51:20
	start	2019-08-21 01:15:17
	start	2019-06-19 22:51:02
f146bdfd	finish	2019-07-06 01:16:18
	start	2019-07-21 19:29:47
	start	2019-08-01 21:21:01
	start	2019-08-24 03:09:31
613485dd	finish	2019-07-07 16:03:36
	start	2019-06-11 04:33:15
	start	2019-06-07 13:28:53
	start	2019-07-29 00:18:14
38d6985a	finish	2019-08-07 07:08:35
	start	2019-06-20 14:47:45
	start	2019-06-25 06:54:58
	start	2019-06-18 18:02:50
	start	2019-06-21 03:51:36
f2d3891c	finish	2019-08-29 18:38:25
	start	2019-06-05 12:07:36
	start	2019-08-10 17:06:44
	start	2019-06-10 16:20:46
	start	2019-08-21 22:37:17
9024be55	finish	2019-06-12 14:11:45
	start	2019-08-29 04:24:55
	start	2019-06-14 23:31:40
7be6bcfa	finish	
	start	2019-08-27 21:12:46
	start	2019-07-04 04:13:42
31cc937a	finish	2019-06-29 14:44:39
cce28e82	finish	2019-08-07 21:06:11
d01d88f8	finish	2019-07-03 23:19:45
fea6bcf3	finish	
031cbf76	finish	
89ad8ec8	finish	2019-08-17 22:30:57
cb7d9993	finish	
	start	2019-06-21 20:39:03
abf2aa35	finish	2019-07-05 05:30:27
	finish	2019-06-18 17:15:18
4a5bacf1	finish	2019-08-23 22:44:40
	start	2019-08-05 14:34:34
	finish	2019-08-26 02:04:46
	start	2019-08-17 04:59:24
c36e8b86	finish	2019-08-24 12:35:08
	start	2019-07-30 14:58:02
	finish	2019-07-24 12:28:06
b0c7b505	finish	2019-06-21 08:28:45
4e73abdb	finish	
b1789e39	finish	2019-07-12 19:54:02
bcfaae07	finish	
	start	2019-07-04 09:13:34
59aeb076	finish	
81ccbf1e	finish	2019-08-06 00:20:55
ee869e83	finish	
	start	2019-06-28 23:43:52
	start	2019-08-02 19:20:45
	start	2019-06-11 14:27:05
	start	2019-07-13 14:27:09
236c8f93	finish	2019-07-31 05:12:36
	start	2019-08-01 20:24:56
	start	2019-08-20 07:16:46
	start	2019-08-20 05:39:51
	start	2019-08-10 10:24:12
ab88824a	finish	2019-08-21 07:04:49
	finish	2019-08-26 06:30:14
	start	2019-08-28 08:18:10
	start	2019-08-28 16:41:51
	start	2019-07-09 16:23:01
a4f18708	finish	2019-07-18 10:55:53
	start	2019-07-27 19:53:04
6dceab81	finish	2019-07-23 02:12:26
8bb7bf47	finish	2019-07-28 01:18:05
	start	2019-08-21 16:44:27
1c6cb0d7	finish	2019-06-17 18:37:58
ee6f8d62	finish	2019-07-23 22:24:13
75e4b906	finish	2019-08-09 05:05:06
bb31b3ac	finish	2019-06-24 02:35:29
d02489cc	finish	2019-05-30 13:45:45
	start	2019-08-22 16:04:17
702eb937	finish	2019-06-20 01:55:30
c606ae1b	finish	2019-08-04 17:39:02
	start	2019-07-05 03:57:26
	finish	2019-07-06 07:02:30
	finish	2019-07-24 23:25:01
	start	2019-06-10 23:22:03
	start	2019-07-03 09:19:43
	start	2019-08-23 11:34:11
	start	2019-07-09 19:31:59
	start	2019-08-05 00:32:03
	start	2019-08-07 19:33:11
5c64ac09	finish	2019-08-20 22:15:26
918fb2db	finish	2019-07-03 17:07:45
	start	2019-07-07 21:59:53
	finish	2019-08-26 15:42:41
	start	2019-08-01 09:52:51
	start	2019-07-04 17:35:09
	start	2019-08-29 07:48:12
	start	2019-08-03 17:18:43
	start	2019-08-15 21:26:01
	start	2019-06-09 23:17:35
aa48a040	finish	
	start	2019-08-21 08:02:18
	start	2019-06-22 04:04:00
219a878d	finish	2019-07-20 11:38:39
bad0b591	finish	
	start	2019-06-10 23:30:39
9d16b3b4	finish	
	start	2019-08-09 17:16:27
d11b907a	finish	2019-08-09 03:37:30
4aafbcbe	finish	
	start	2019-07-10 17:19:48
	start	2019-08-29 01:55:06
	start	2019-06-30 21:29:58
6b94aefc	finish	2019-07-07 20:58:59
22eba74e	finish	2019-06-25 21:49:27
	finish	2019-07-09 02:56:25
2f77a724	finish	
6c7888c0	finish	2019-08-14 10:54:24
	start	2019-07-12 07:00:13
	start	2019-08-17 20:47:24
	start	2019-06-17 22:12:29
	start	2019-06-12 05:31:21
7d51a37f	finish	2019-07-10 19:11:53
	start	2019-08-24 23:50:08
14269d89	finish	
9b43b2de	finish	
1799a083	finish	
	start	2019-08-21 19:33:03
	start	2019-07-22 18:35:23
6925b8a8	finish	
cbbdb393	finish	
	start	2019-06-17 12:58:47
	finish	2019-08-27 16:01:14
	start	2019-08-23 14:42:29
a6e8b4b1	finish	2019-07-26 22:29:54
	start	2019-08-11 23:42:10
	start	2019-08-15 14:12:53
4c89895c	finish	
	start	2019-08-18 18:50:00
10ad812d	finish	2019-08-29 15:30:18
5ceaab63	finish	
bc42a50d	finish	
	start	2019-07-04 07:26:11
5424977b	finish	
	start	2019-07-08 21:36:02
	start	2019-08-23 12:20:48
	start	2019-08-14 03:11:16
a8259deb	finish	
	start	2019-06-20 17:38:18
	start	2019-07-27 15:18:22
10a5b461	finish	2019-08-28 22:23:17
	start	2019-06-21 01:05:54
	start	2019-08-23 22:09:50
4b8dbc6e	finish	2019-06-08 19:48:42
c0d5984a	finish	
	start	2019-08-19 22:42:04
87f5b2d4	finish	2019-07-19 19:12:12
	start	2019-07-09 16:49:45
69f4bf21	finish	2019-08-04 16:33:04
	finish	2019-06-11 20:58:51
	start	2019-08-27 02:25:11
	start	2019-08-19 22:54:36
85999201	finish	2019-08-19 19:47:24
	start	2019-06-17 09:52:43
	start	2019-08-26 20:26:13
e415bbde	finish	2019-08-28 21:22:28
	start	2019-08-08 04:16:24
daa3a92b	finish	2019-08-22 20:30:13
	start	2019-06-29 12:05:45
	start	2019-08-08 22:47:00
	finish	2019-07-08 04:03:21
	start	2019-06-10 21:35:10
	start	2019-08-19 02:16:31
	start	2019-08-27 05:32:34
	start	2019-07-05 01:10:00
	start	2019-07-23 03:41:47
	start	2019-08-04 13:41:08
	start	2019-07-09 01:14:09
	start	2019-07-12 15:34:45
73ca8f75	finish	2019-07-21 19:49:00
	start	2019-07-11 00:12:13
bec3a5cf	finish	
6fbeac2d	finish	2019-07-09 15:41:13
	start	2019-06-27 03:53:00
	start	2019-06-26 03:07:45
	finish	2019-08-29 10:34:06
	start	2019-08-04 10:42:12
	finish	2019-08-24 18:29:40
	start	2019-07-05 09:22:08
	start	2019-08-01 14:45:42
	start	2019-07-20 17:03:05
f8628a76	finish	
	start	2019-06-16 02:03:44
72139511	finish	2019-08-08 23:45:41
	start	2019-07-22 17:54:50
2ad599d4	finish	
	start	2019-08-24 16:44:18
	start	2019-08-16 04:45:39
	start	2019-06-30 00:48:17
	start	2019-06-13 23:55:49
	start	2019-06-14 22:44:25
	start	2019-08-08 08:55:52
	start	2019-08-22 14:10:54
	start	2019-06-04 09:18:06
c142ad06	finish	2019-06-07 06:36:09
	start	2019-07-14 12:25:56
be07989a	finish	
ef2e9d0b	finish	2019-07-13 08:23:35
	start	2019-07-18 08:33:38
	start	2019-08-25 01:35:05
5ac6b3ba	finish	2019-08-07 03:36:25
	start	2019-07-10 17:09:40
	start	2019-06-09 03:57:43
	start	2019-07-17 15:27:12
	start	2019-08-09 10:26:08
a14891f8	finish	2019-08-19 23:13:23
656d97b4	finish	2019-07-28 19:28:40
871eadb3	finish	2019-08-06 20:22:11
a09992fa	finish	2019-06-27 00:12:16
638ba7a1	finish	
	start	2019-08-26 21:13:36
	start	2019-06-28 00:33:54
8cc58bba	finish	2019-07-01 22:10:40
54b6a2f3	finish	2019-06-04 08:47:44
	start	2019-08-20 12:50:23
	start	2019-07-22 20:41:07
	finish	2019-08-19 02:48:36
	start	2019-08-16 16:34:54
b407adde	finish	
60cdbd47	finish	2019-06-13 06:18:45
97e295be	finish	2019-08-29 10:31:51
	start	2019-06-08 10:08:22
df338fb1	finish	2019-07-21 21:09:51
	start	2019-08-25 08:52:15
	start	2019-07-14 21:35:31
	start	2019-08-11 19:51:46
	start	2019-08-23 02:49:41
	start	2019-08-29 01:27:56
cfae9fa6	finish	2019-07-13 03:06:50
bc109a65	finish	
	start	2019-07-16 08:43:59
	start	2019-07-18 16:49:13
37719372	finish	
	start	2019-08-27 23:14:45
	finish	2019-07-13 07:17:57
4fadb12a	finish	
76299e1a	finish	
e64a9007	finish	2019-07-23 00:33:03
d9d3b4f5	finish	2019-08-24 19:32:50
1c039bdb	finish	
e96abb3b	finish	2019-08-16 05:18:05
75c688e7	finish	
	start	2019-06-17 14:14:28
	start	2019-07-09 07:34:29
	start	2019-07-22 01:56:57
	start	2019-06-27 22:08:18
	start	2019-06-27 14:41:36
14708579	finish	2019-07-16 20:57:26
570985e2	finish	2019-07-25 19:46:07
e253a618	finish	
	start	2019-07-08 20:55:26
4f689983	finish	
	start	2019-07-09 06:07:12
af029219	finish	
	start	2019-08-18 21:30:52
	start	2019-07-01 01:32:51
	start	2019-08-19 18:31:52
	start	2019-08-06 19:12:28
6ce5802a	finish	2019-07-26 19:09:53
57e9a030	finish	2019-06-16 21:09:23
	start	2019-08-13 21:09:43
	start	2019-08-24 04:53:27
d922af62	finish	2019-07-22 03:03:57
af0b95c2	finish	
	start	2019-07-24 16:47:03
	finish	2019-08-24 22:44:22
	finish	2019-07-23 20:57:58
18bdad27	finish	
	start	2019-06-29 03:13:32
c0ed85aa	finish	2019-06-24 10:56:21
	start	2019-07-16 20:48:00
	start	2019-06-27 21:12:20
dfec8c61	finish	2019-06-10 19:49:38
5a8fab78	finish	
10ad812d	finish	
a44a94c0	finish	
79a1ba40	finish	2019-08-07 16:37:22
	start	2019-08-23 12:20:19
	start	2019-06-11 00:44:01
	start	2019-06-10 16:20:09
	start	2019-08-25 02:17:53
	start	2019-08-15 12:34:24
04b296e8	finish	
	start	2019-08-08 16:38:14
10118e6e	finish	
	finish	2019-06-22 13:21:05
	start	2019-06-25 05:53:32
	start	2019-06-12 23:21:24
	finish	2019-08-07 17:12:57
67e6a529	finish	
	start	2019-07-09 21:03:00
2bf1aa01	finish	
	start	2019-08-26 19:09:43
	start	2019-06-13 01:52:04
	start	2019-06-12 01:04:38
	start	2019-08-17 13:06:09
7f1ab1a3	finish	2019-08-12 04:18:16
2aeb82dc	finish	2019-06-18 17:42:13
fcc3bbe6	finish	
	start	2019-08-29 10:50:19
26ce9c8a	finish	2019-08-11 23:06:24
	start	2019-07-20 23:13:50
	start	2019-08-23 18:50:18
	start	2019-07-08 23:34:02
	start	2019-08-23 18:23:10
9ecd8bc6	finish	2019-07-06 22:38:27
099f8aeb	finish	2019-08-29 21:30:25
978fb7a3	finish	
	start	2019-06-27 23:31:58
2131a5e8	finish	
f480a5a6	finish	2019-07-15 15:04:23
	start	2019-07-13 15:17:06
	start	2019-08-28 00:20:31
d38d97f2	finish	
55528e7d	finish	2019-06-18 19:50:11
0c5c9d7e	finish	
	start	2019-07-14 22:05:17
7f1ab1a3	finish	
	start	2019-08-21 23:53:13
	finish	2019-08-10 20:37:01
	start	2019-06-11 04:26:53
	finish	2019-07-01 21:11:44
a453899b	finish	
177da555	finish	
bb52bdef	finish	
	finish	2019-06-30 19:05:52
	start	2019-06-29 12:36:38
67c980ba	finish	2019-08-02 14:00:15
	start	2019-08-20 17:18:40
eaa49dd8	finish	2019-06-20 14:21:25
	start	2019-07-31 22:55:47
13fe86c9	finish	2019-06-26 03:21:14
82b4aba9	finish	2019-08-27 13:50:38
7a5891e2	finish	
7f12b12d	finish	2019-08-29 00:52:05
	finish	2019-07-30 05:07:52
	start	2019-06-07 13:28:16
be1c90dd	finish	
077c9971	finish	2019-06-26 03:34:29
	start	2019-08-28 17:39:28
dbafb4d6	finish	2019-07-07 06:52:53
	finish	2019-07-30 06:41:00
38b19d46	finish	2019-07-03 23:04:17
	start	2019-06-24 20:37:22
4e73abdb	finish	
b3e0add1	finish	2019-06-04 10:16:32
7b01b44c	finish	2019-07-15 11:30:13
08239a3f	finish	2019-08-15 16:52:26
	start	2019-07-19 23:24:47
	start	2019-06-23 06:25:40
	finish	2019-06-13 20:59:03
f71d8b8d	finish	
	start	2019-06-28 07:38:14
9c62ab3e	finish	2019-08-15 23:34:56
	start	2019-07-12 19:50:53
8d80aca2	finish	2019-08-13 17:14:38
	start	2019-07-29 20:29:10
	start	2019-07-14 05:36:28
	start	2019-08-10 20:44:30
bf3f83d8	finish	2019-07-19 03:23:40
	start	2019-06-19 18:00:27
dfca9f19	finish	
	finish	2019-08-12 21:56:46
822ca923	finish	2019-08-09 20:37:12
	start	2019-07-02 05:34:59
	finish	2019-08-12 14:25:09
	start	2019-07-08 19:33:36
	start	2019-07-04 15:36:35
	start	2019-08-29 20:27:20
	start	2019-08-25 18:02:55
	start	2019-06-09 19:21:50
cd7889e6	finish	
353bbec9	finish	2019-06-23 16:05:20
	start	2019-07-22 04:14:42
5b2a9abe	finish	2019-07-09 01:11:58
5653ba29	finish	2019-08-20 01:33:00
41edb02d	finish	
bbc9a8e4	finish	
	start	2019-07-07 15:42:22
bab599da	finish	
	start	2019-06-08 12:46:41
2f77a724	finish	2019-06-20 04:31:02
	start	2019-08-01 01:42:36
	start	2019-08-03 17:47:53
8b38bdd5	finish	2019-06-21 22:50:02
364f9d53	finish	2019-06-26 04:27:32
b33484c5	finish	
04168b80	finish	2019-08-26 04:10:35
	finish	2019-08-23 18:04:53
	start	2019-07-04 03:09:07
	start	2019-07-03 02:45:20
f2c1b089	finish	
	start	2019-08-21 05:34:49
	start	2019-08-28 20:41:46
	start	2019-06-29 03:20:02
cabca2eb	finish	2019-06-10 17:22:23
b0a991e0	finish	2019-08-29 22:35:10
	start	2019-07-04 08:54:42
85309296	finish	2019-08-27 23:48:26
	start	2019-08-22 17:50:43
f169af49	finish	
	start	2019-08-24 02:33:44
	finish	2019-07-06 23:33:26
8465912a	finish	2019-06-21 07:25:48
	start	2019-08-02 00:25:53
	start	2019-07-09 00:17:41
3df3abf2	finish	2019-08-14 03:55:24
b9a0958c	finish	2019-08-25 04:34:35
	start	2019-08-11 21:41:20
	start	2019-08-23 21:54:23
	start	2019-08-04 21:52:41
b53fb787	finish	
	finish	2019-06-12 01:16:34
	start	2019-06-04 16:34:18
3b64bd0b	finish	
